20220803	17:04:29	a3db115a-3cb5-456b-b09c-dd74012d90bd	POST	undefined	/auth
20220803	17:04:39	e2f4c563-c93e-4fea-8670-b937eb8c1b21	GET	undefined	/refresh
20220803	17:05:51	189e34a9-cf3b-40d3-abf7-66323848777c	GET	undefined	/refresh
20220803	17:06:00	f3ac3d00-a84e-4fe0-94f7-cc32ff5af96b	GET	undefined	/refresh
20220803	17:06:15	7f57ac4d-efef-439b-afdb-048b23605170	GET	undefined	/logout
20220803	17:06:36	3c2088c5-4908-4ad6-9553-f2b789b962cb	POST	undefined	/auth
20220803	17:06:42	c89d2441-0a46-4af1-8950-c4edd7398889	GET	undefined	/logout
20220803	17:10:15	e9eeb828-dd71-4b11-9d4d-a14d939bda0a	POST	undefined	/auth
20220803	17:10:19	3ee1a72c-dc71-47dd-8669-f96d80a7c9c1	GET	undefined	/logout
20220803	17:43:37	fc1592da-9066-43cb-9ff9-cf9f49b9ff5f	POST	undefined	/register
20220803	17:43:46	ff7f6c00-0181-46cf-862c-d4f5b1889c62	POST	undefined	/register
20220803	18:55:33	9e1d2e60-b0de-4c00-9e65-2d7b9428d0eb	POST	undefined	/auth
20220803	18:55:50	bc668747-38d2-4e80-90eb-c95b9dc67293	POST	undefined	/auth
20220803	18:55:58	db528070-a9fc-4984-a3e2-cd874e3ffd6b	GET	undefined	/employees
